--???|dark1_h|evil-team|Persephone
--???|dark1_h|evil-team|Persephone
--???|dark1_h|evil-team|Persephone
--???|dark2_h|evil-team|Persephone
--???|dark2_h|evil-team|Persephone
--???|dark2_h|evil-team|Persephone
--???|dark3_h|evil-team|Persephone
--???|dark3_h|evil-team|Persephone
--???|dark3_h|evil-team|Persephone
--???|inf1_h|evil-team|Zenith|# Fiery Caverns
--???|inf2_h|evil-team|Zenith# Infernal Base
--???|abys1_h|evil-team|Audrey|#Whirl Islands
--???|abys2_h|evil-team|Audrey|Abyssal Base
--???|perf1_h|evil-team|Taen|#Perfection Base
--???|perf2_h|evil-team|Taen|#Kepler City
--???|perf3_h|evil-team|Taen|#Dragon Ruins
--???|perf4_h|evil-team|Taen|#Perfection Base
--???|perf5_h|evil-team|Taen|# Alpha Templte
--???|perf6_h|evil-team|Taen|#Dragon Ruins
--???|j1_h|mini-boss|Jaern|
--???|j2_h|mini-boss|Jaern|
--???|1_h|gym-leader|Orion|fire|
--???|2_h|gym-leader|Xavier|bug/poison
--???|3_h|gym-leader|East|flying
--???|4_h|gym-leader|Harmony|fairy
--???|5_h|gym-leader|Anastasia|steel/electric
--???|6_h|gym-leader|Diana|psychic/ghost
--???|7_h|gym-leader|Calreath|water|
--???|8_ha|gym-leader|Adam|dark
--???|8_hb|gym-leader|Adam|dark
--???|e1_h|elite-four|Kayla
--???|e2_h|elite-four|Eduard|
--???|e3_h|elite-four|Yuki|
--???|e4_h|elite-four|London|
--???|ec_h|elite-four|Reukra
--???|mb1_h|mini-bos|Gail#Dragon Ruins
--???|r1_h|rival|Damian
--???|r2_h|rival|Damian
--???|n1_h|rival|Nora
--???|n2_h|rival|Nora
--???|n3_h|rival|Nora
--???|n4_h|rival|Nora







Alpha Temple|unown,lucario,hydreigon,aegislash
Dragon Ruins|charizard,magikarp,gyarados,feraligatr,chinchou,lanturn,qwilfish,corsola,sceptile,cradily,feebas,huntail,gorebyss,cresselia,swanna,golurk,reshiram,zekrom,zygarde,delta-bergmite
Erebus City|magby,shaymin,druddigon,delta-bulbasaur,delta-charmander,delta-squirtle
Fiery Caverns|dugtrio,tentacruel,magmar,magikarp,gyarados,lanturn,qwilfish,magcargo,wingull,sharpedo,wailmer,camerupt,torkoal,feebas,huntail,gorebyss,simisear,darmanitan,swanna,delta-snorunt,heatran
Friend Safari|caterpie,charmeleon,ekans,ivysaur,pidgey,pikachu,rattata,spearow,wartortle,weedle,sandshrew,nidorina,nidoqueen,nidorino,nidoking,clefairy,ninetales,jigglypuff,golbat,oddish,gloom,paras,venonat,diglett,meowth,psyduck,mankey,growlithe,poliwhirl,abra,machoke,weepinbell,tentacool,graveler,ponyta,slowpoke,magnemite,magneton,farfetchd,doduo,seel,muk,shellder,haunter,onix,drowzee,krabby,voltorb,exeggcute,cubone,lickitung,koffing,rhydon,chansey,tangela,kangaskhan,seadra,goldeen,staryu,mr.-mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,lapras,ditto,eevee,jolteon,porygon,omanyte,kabuto,aerodactyl,dragonair,bayleef,quilava,croconaw,sentret,hoothoot,ledyba,spinarak,chinchou,togetic,natu,flaaffy,marill,sudowoodo,hoppip,aipom,sunkern,yanma,wooper,murkrow,misdreavus,unown,girafarig,pineco,dunsparce,gligar,snubbull,qwilfish,scizor,shuckle,heracross,sneasel,teddiursa,slugma,piloswine,corsola,remoraid,delibird,skarmory,houndour,phanpy,stantler,smeargle,tyrogue,miltank,pupitar,grovyle,combusken,marshtomp,poochyena,zigzagoon,wurmple,lotad,nuzleaf,taillow,wingull,kirlia,surskit,shroomish,vigoroth,nincada,shedinja,loudred,makuhita,nosepass,skitty,sableye,mawile,lairon,meditite,electrike,plusle,minun,volbeat,illumise,roselia,gulpin,carvanha,wailmer,numel,torkoal,spoink,spinda,vibrava,cacnea,swablu,zangoose,seviper,lunatone,solrock,barboach,corphish,baltoy,lileep,anorith,feebas,castform,shuppet,dusclops,tropius,chimecho,wynaut,snorunt,sealeo,clamperl,luvdisc,shelgon,metang,grotle,monferno,prinplup,starly,bidoof,luxio,cranidos,shieldon,burmy,combee,pachirisu,buizel,cherubi,shellos,drifloon,buneary,glameow,stunky,bronzor,chatot,spiritomb,gabite,riolu,hippopotas,skorupi,croagunk,carnivine,mantyke,snover,leafeon,rotom,servine,pignite,dewott,patrat,herdier,purrloin,pansage,pansear,panpour,munna,pidove,blitzle,boldore,woobat,drilbur,audino,gurdurr,tympole,palpitoad,throh,sawk,sewaddle,swadloon,whirlipede,cottonee,petilil,basculin,krokorok,darumaka,maractus,dwebble,scraggy,sigilyph,yamask,tirtouga,archen,trubbish,zorua,minccino,gothorita,duosion,ducklett,vanillish,deerling,emolga,karrablast,foongus,frillish,alomomola,joltik,ferroseed,klang,eelektrik,elgyem,lampent,fraxure,cubchoo,cryogonal,shelmet,stunfisk,mienfoo,druddigon,golett,pawniard,bouffalant,rufflet,vullaby,heatmor,durant,zweilous,larvesta,quilladin,braixen,frogadier,bunnelby,fletchinder,scatterbug,litleo,floette,gogoat,pancham,furfrou,espurr,doublade,spritzee,swirlix,inkay,binacle,skrelp,clauncher,helioptile,tyrunt,amaura,sylveon,hawlucha,dedenne,carbink,sliggoo,klefki,phantump,pumpkaboo,bergmite,noibat
Gaea Core|unown,smeargle,regigigas,eelektross,beheeyem
Gaea Town|golduck,slowbro,dratini,qwilfish,celebi,corphish,feebas,lumineon,seismitoad,darumaka,jellicent,clawitzer
Hekate Town|tentacruel,haunter,magikarp,gyarados,lanturn,qwilfish,wingull,sharpedo,wailmer,feebas,huntail,gorebyss,munchlax,cresselia,swanna
Helios City|smeargle,barboach,wynaut,bonsly,delta-lotad
Helios Sewers|geodude,grimer,koffing,shuckle,nosepass,gulpin,stunky,roggenrola,dwebble,yamask,trubbish,foongus,carbink,delta-heatmor
Helix Fossil|omanyte
Holon Desert|machamp,golem,marowak,flygon,solrock,claydol,lopunny,hippowdon,tangrowth,gliscor,delta-tangela,delta-buneary,delta-regirock
Holon Grasslands|tentacool,slowbro,dewgong,kingler,lanturn,octillery,sceptile,mawile,carvanha,crawdaunt,huntail,gorebyss,mothim,combee,unfezant,tympole,seismitoad,lilligant,escavalier,accelgor,pyroar,clawitzer,delta-treecko,delta-mawile,delta-petilil-fairy,delta-karrablast
Holon Jungle|bayleef,aipom,cacturne,skuntank,toxicroak,crustle,amoonguss,trevenant,gourgeist,delta-kabuto,delta-croagunk,delta-darumaka,delta-dwebble-berry,delta-foongus
Holon Lake|clefable,golduck,tentacruel,dewgong,starmie,ditto,dragonair,lanturn,mantine,ludicolo,plusle,minun,wailord,lunatone,solrock,huntail,gorebyss,luvdisc,metagross,torterra,mamoswine,snivy,basculin,barbaracle,delta-turtwig,delta-snivy
Holon Marsh|butterfree,tentacruel,dodrio,politoed,remoraid,corphish,crawdaunt,finneon,lumineon,yanmega,tympole,palpitoad,eelektross,greninja,malamar,barbaracle,delta-froakie,delta-tentacool,delta-yanma,delta-goomy
Holon Mountain|tentacruel,dewgong,seaking,lapras,noctowl,chinchou,lanturn,shiftry,medicham,barboach,clamperl,huntail,lumineon,abomasnow,glaceon,cryogonal,malamar,clauncher,delta-hoothoot,delta-seedot,delta-meditite
Holon Pyramid|gengar,espeon,umbreon,unown,mismagius,lucario,chandelure,delta-torchic,delta-riolu
Holon Undercave|poliwag,poliwhirl,golem,seel,kingler,marowak,seadra,staryu,dragonair,lanturn,quagsire,swampert,wailord,whiscash,huntail,gorebyss,luvdisc,gabite,tympole,palpitoad,carracosta,jellicent,alomomola,stunfisk,golurk,delta-dratini,delta-magby,delta-regice
Holon Volcano|charizard,magikarp,tyranitar,aggron,excadrill,darmanitan,volcarona,talonflame,delta-remoraid,delta-sableye,delta-aron,delta-venipede,delta-registeel
Infernal Dungeon|magcargo,houndoom,camerupt,darmanitan,chandelure,heatmor,volcanion,heatran
Jade Tower|rayquaza
Jaw Fossil|tyrunt
Kepler City|tentacruel,magikarp,gyarados,lanturn,qwilfish,wingull,sharpedo,wailmer,feebas,huntail,gorebyss,beldum,swanna
Koril Cave|hitmonlee,hitmonchan,kabutops,lanturn,qwilfish,hitmontop,gastrodon,terrakion,skrelp
Koril Town|squirtle,tentacruel,cloyster,kingler,starmie,magikarp,lanturn,qwilfish,corsola,whiscash
Lost Pond|delta-amaura
Lush Island|delta-dunsparce
Maelstrom 9|tentacruel,cloyster,seaking,magikarp,gyarados,lanturn,kingdra,wingull,carvanha,sharpedo,wailmer,feebas,huntail,gorebyss,relicanth,floatzel
Metchi Town|tentacool,dewgong,krabby,staryu,marill,basculin,alomomola,delta-ditto
Miara Archaeological Site|geodude,shuckle,nosepass,roggenrola,dwebble,carbink
Miara Town|machoke,tentacruel,haunter,lanturn,sunkern,slugma,corsola,remoraid,octillery,mantine,wailmer,barboach,whiscash,tropius,finneon,lumineon,delta-koffing
Midna Garden|tentacool,shellder,cloyster,exeggcute,magikarp,gyarados,dratini,surskit,piplup,stunky,heatmor,durant,cobalion
Midna Mine|zubat,poliwag,geodude,seel,goldeen,seaking,shuckle,phanpy,nosepass,clamperl,huntail,gorebyss,luvdisc,roggenrola,woobat,drilbur,dwebble,carbink
Midna Town|gastly,corsola,elekid,carvanha,sharpedo,buizel,finneon,lumineon,tympole,seismitoad
Mimry Gardens|delta-meloetta
Mist Island|psyduck,horsea,gyarados,wailmer,wailord,corphish,spheal,latias,lumineon,palpitoad,frillish
Misty Way|psyduck,horsea,gyarados,quagsire,girafarig,wailmer,wailord,swablu,altaria,corphish,castform,spheal,mime-jr.,lumineon,palpitoad,frillish
Mount Rose|charmander,nidoqueen,clefable,arcanine,poliwrath,tentacool,slowbro,doduo,dewgong,kingler,politoed,dunsparce,granbull,scizor,heracross,pelipper,ninjask,shedinja,wailmer,swablu,barboach,whiscash,registeel,wormadam,leavanny,swanna,escavalier,frillish,alomomola,accelgor,deino,spritzee,slurpuff,barbaracle,delta-phantump,tentacool,golem,slowbro,dewgong,kingler,starmie,quagsire,steelix,ursaring,sableye,aggron,wailmer,barboach,whiscash,claydol,glalie,jirachi,gigalith,excadrill,frillish,alomomola,beartic,barbaracle,tentacool,slowbro,dewgong,kingler,politoed,granbull,heracross,corsola,octillery,stantler,sceptile,ninjask,shedinja,sharpedo,wailmer,barboach,whiscash,empoleon,carracosta,swanna,escavalier,frillish,alomomola,accelgor,chesnaught,barbaracle
Mountainous Cave|tentacruel,golem,kingler,seaking,lapras,kabutops,chinchou,lanturn,aggron,lunatone,solrock,barboach,whiscash,clamperl,huntail,gabite,lumineon,gigalith,carracosta,clauncher,carbink,delta-elekid
Murk Forest|beedrill,butterfree,vileplume,venomoth,tentacruel,magikarp,gyarados,ariados,lanturn,qwilfish,wingull,sableye,volbeat,illumise,sharpedo,wailmer,feebas,absol,huntail,gorebyss,chimchar,honchkrow,scraggy,swanna,joltik,keldeo,froakie,delta-scraggy,delta-shinx,delta-metang-spider
Mysterious Hideaway|jumpluff,sigilyph,vivillon,florges,noivern
Narra Border|kingler,omastar,kabutops,corsola,swampert,barboach,crawdaunt,cradily,armaldo,clamperl,huntail,relicanth,rampardos,palpitoad,crustle,carracosta,alomomola,tyrantrum,aurorus
Narra Town|venusaur,kingler,kangaskhan,pinsir,furret,ledian,azumarill,heracross,corsola,barboach,crawdaunt,clamperl,huntail,relicanth,palpitoad,carracosta,alomomola,heliolisk,delta-growlithe
Nasca Cave|tentacruel,magikarp,gyarados,lanturn,sudowoodo,qwilfish,shuckle,wingull,sharpedo,wailmer,lunatone,solrock,feebas,huntail,gorebyss,rampardos,crustle,swanna,carbink
Nasca Town|bulbasaur,charmander,squirtle,tentacruel,cloyster,magikarp,gyarados,lanturn,sudowoodo,qwilfish,shuckle,kingdra,wingull,sharpedo,wailmer,lunatone,solrock,feebas,huntail,gorebyss,relicanth,rampardos,crustle,swanna,carbink
Nexa Border|poliwhirl,slowpoke,horsea,goldeen,swampert,gardevoir,wailord,whiscash,luvdisc,salamence,torterra,empoleon,mantyke,gallade,hydreigon,greninja,aegislash,clauncher,clawitzer,goodra
Nexa Town|blastoise,poliwhirl,slowpoke,kingler,horsea,goldeen,azumarill,ludicolo,wailord,whiscash,crawdaunt,luvdisc,mantyke,clauncher,clawitzer
Nightmare Badlands|gengar,magikarp,deoxys,mismagius,spiritomb,dusknoir,musharna,zoroark,gothitelle,reuniclus,jellicent,mandibuzz,hoopa
No Man's Land|jynx,ditto,articuno,solrock,weavile,mamoswine,froslass,hydreigon,aurorus,glaceon
Old Amber|aerodactyl
Oort Cloud Object|ufi
Oranos Town|dewgong,horsea,seadra,magikarp,gyarados,dratini,dragonair,corsola,sharpedo,barboach,floatzel,gible,cresselia,swanna,binacle
Outer Core|groudon
Perfection Laboratory|delta-larvesta,mewtwo
Plume Fossil|archen
Pokémon League|machamp,gardevoir,lucario
Power Farm|delta-pawniard
Prion Town|delta-doduo
REM Ocean|gengar,hypno,magikarp,grumpig,drifblim,bronzong,musharna,gothitelle,jellicent
Rem Village|gengar,magikarp,mismagius,spiritomb,dusknoir,darkrai,musharna,zoroark,gothitelle,reuniclus,jellicent,mandibuzz
Rezzai Cavern|dugtrio,geodude,graveler,onix,marowak,gyarados,quagsire,qwilfish,shuckle,nosepass,regirock,gastrodon,roggenrola,boldore,palpitoad,seismitoad,dwebble,axew,carbink
Rezzai Desert|vibrava,hippopotas,krokorok,landorus
Roaming encounter can replace Pokemon encounters in Murk Forest|cresselia
Roaming encounter after subjugating Arceus|raikou,entei,suicune
Roggan Town|larvesta,delta-emolga
Root Fossil|lileep
Rose Crater|flareon,magcargo,houndoom,torchic,camerupt,emboar,darmanitan
Route 10|tentacruel,magikarp,gyarados,lanturn,azumarill,politoed,qwilfish,phanpy,wingull,breloom,sharpedo,wailmer,feebas,huntail,gorebyss,turtwig,empoleon,carnivine,maractus,swanna,chespin,honedge
Route 11|tentacruel,scyther,magikarp,gyarados,lanturn,qwilfish,miltank,sceptile,wingull,sharpedo,wailmer,feebas,tropius,wynaut,huntail,gorebyss,yanmega,swanna,klink
Route 12|tentacruel,hitmonlee,hitmonchan,magikarp,gyarados,lanturn,qwilfish,hitmontop,wingull,vigoroth,sharpedo,wailmer,spinda,cacturne,feebas,huntail,gorebyss,tangrowth,cresselia,stoutland,swanna,florges
Route 13|parasect,tentacruel,magikarp,gyarados,lanturn,flaaffy,bellossom,qwilfish,linoone,dustox,wingull,sharpedo,wailmer,feebas,huntail,gorebyss,cresselia,swanna,sawsbuck
Route 14|bulbasaur,hypno,horsea,seaking,lanturn,girafarig,sneasel,octillery,plusle,minun,sharpedo,wailmer,huntail,gorebyss,luvdisc,vespiquen,pachirisu,finneon,mantyke,cresselia,dewott,simipour,tympole,basculin,scraggy,swanna,jellicent,meowstic,barbaracle,dedenne
Route 15|fearow,poliwag,seaking,staryu,gyarados,shuckle,corsola,octillery,manectric,sharpedo,zangoose,lunatone,solrock,corphish,crawdaunt,cradily,armaldo,absol,empoleon,togekiss,gigalith,darumaka,carracosta,zorua,swanna,alomomola,ferroseed,ferrothorn,druddigon,honedge,clawitzer,noibat,noivern
Route 16|poliwag,drowzee,kingler,lickitung,horsea,furret,azumarill,remoraid,mantine,altaria,crawdaunt,feebas,huntail,luvdisc,honchkrow,chatot,palpitoad,seismitoad,carracosta,emolga,floette,pangoro,doublade,malamar,binacle,heliolisk,delta-girafarig
Route 17|bulbasaur,charizard,poliwag,poliwhirl,slowbro,dewgong,horsea,tauros,dratini,wailord,beldum,luxray,cherrim,lumineon,simipour,unfezant,basculin,frillish,bouffalant,chespin,froakie,clauncher,clawitzer
Route 1|meowth,ponyta,magikarp,gyarados,hoppip,lotad,barboach,whiscash,oshawott,blitzle,bunnelby,skrelp,dragalge,delta-dwebble-cake
Route 2|krabby,staryu,totodile,marill,corsola,remoraid,octillery,corphish,bidoof,buizel
Route 3|charmander,tentacool,dewgong,krabby,staryu,sudowoodo,mantine,seedot,nuzleaf,ralts,kirlia,mantyke,pansage,throh,sawk,petilil,basculin,delta-scyther
Route 4|fearow,squirtle,poliwhirl,abra,ponyta,doduo,shellder,krabby,staryu,cyndaquil,chinchou,hoppip,skiploom,qwilfish,corsola,mudkip,wingull,barboach,mantyke,panpour,minccino,ducklett,frillish,furfrou,delta-ralts,delta-sunkern
Route 5|seadra,dragonair,croconaw,lanturn,roselia,prinplup,luxray,glameow,servine,cottonee,floette
Route 6|farfetchd,dewgong,seaking,magikarp,lapras,lanturn,qwilfish,plusle,minun,milotic,pachirisu,swanna,emolga,gogoat
Route 7|dewgong,seaking,magikarp,lapras,lanturn,qwilfish,skitty,milotic,chimecho,chatot,stoutland,swanna,phantump,pumpkaboo
Route 8|wigglytuff,rapidash,chansey,kangaskhan,snorlax,lanturn,corsola,remoraid,octillery,houndoom,barboach,whiscash,corphish,gastrodon,finneon,lumineon,swanna,spritzee,slurpuff,delta-munchlax
Route 9|raticate,ninetales,primeape,tentacruel,magikarp,gyarados,lanturn,qwilfish,treecko,mudkip,wingull,loudred,sharpedo,wailmer,feebas,huntail,gorebyss,swanna,honedge,hawlucha,klefki,delta-combee
Safari Zone|sandslash,dugtrio,kingler,marowak,magikarp,gyarados,flareon,omastar,feraligatr,chinchou,lanturn,girafarig,qwilfish,corsola,delibird,kingdra,donphan,sceptile,flygon,claydol,cradily,feebas,huntail,gorebyss,purugly,hippowdon,drapion,weavile,yanmega,zebstrika,excadrill,audino,leavanny,krookodile,swanna,amoonguss,eelektross,golurk,heatmor,deino,thundurus,diggersby
Sail Fossil|amaura
Samsara Cave|machoke,geodude,graveler,marowak,gyarados,quagsire,qwilfish,shuckle,pupitar,nosepass,lunatone,solrock,gastrodon,riolu,roggenrola,boldore,palpitoad,seismitoad,dwebble,meloetta,carbink,delta-pidgey
Satellite Corps|genesect,delta-cyndaquil
Science Mission 1|omanyte,kabutops,lileep,archen
Selene City|tentacruel,magikarp,gyarados,lanturn,qwilfish,pupitar,wingull,sharpedo,wailmer,feebas,huntail,gorebyss,cresselia,manaphy,swanna,delta-liepard
Settlement Alfa|delta-beldum-ruin,delta-maractus
Settlement Foxtrot|delta-beldum-ruin
Settlement Juliet|glaceon,delta-feebas,delta-beldum-ruin
Settlement Oscar|poliwag,dewgong,kingler,horsea,goldeen,octillery,whiscash,corphish,crawdaunt,feebas,palpitoad,clawitzer,delta-numel,delta-beldum-ruin
Shade Forest|caterpie,pikachu,weedle,nidoran-f,nidoran-m,poliwag,gastly,magikarp,gyarados,remoraid,octillery,mantyke,patrat,tympole,seismitoad
Skull Fossil|cranidos
Slither Forest|arbok,seviper,delta-deino
Soaring|pidgeot,dragonite,skiploom,skarmory,swellow,pelipper,altaria,salamence,staraptor,drifblim,sigilyph,braviary,delta-drifloon,delta-pikachu,delta-wailmer
Sonata City|tentacruel,magikarp,gyarados,cyndaquil,lanturn,qwilfish,wingull,sharpedo,feebas,huntail,gorebyss,swanna
Sonata Hills|tentacruel,magikarp,gyarados,lanturn,qwilfish,wingull,sharpedo,wailmer,feebas,huntail,gorebyss,swanna,delta-litwick
Sonata Tracks|zebstrika
Starter Pokémon|eevee,delta-bulbasaur,delta-charmander,delta-squirtle
Stormy Seas|tentacruel,magikarp,gyarados,lanturn,quagsire,qwilfish,wingull,sharpedo,wailmer,corphish,feebas,huntail,gorebyss,swanna
Suntouched City|machop,krabby,zapdos,natu,corsola,remoraid,octillery,corphish,delta-aipom
Suntouched Exitway|magnemite,shellder,cloyster,onix,magikarp,gyarados,dratini,shuckle,whismur,makuhita,piplup,roggenrola,timburr,skrelp,clauncher
Telnor Cave|diglett,geodude,onix,cubone,magikarp,gyarados,wooper,qwilfish,nosepass,baltoy,shellos,roggenrola,tympole,seismitoad,delta-diglett
Telnor Town|delta-bulbasaur,delta-charmander,delta-squirtle
Thanatos Cliffs|yveltal
Throne of the Hegemon|giratina,arceus
Torren Game Corner|clefairy,abra,scyther,pinsir,eevee,porygon,chikorita,mareep,heracross,smoochum,bagon,starly,solosis,goomy
Trade Outpost|delta-axew
Upper Mantle|magcargo,houndoom,sableye,camerupt,spiritomb,excadrill,darmanitan,chandelure,bisharp,heatmor
Utira Library|gengar,banette,dusclops,mismagius,litwick,delta-budew
Utira Town|slugma,corsola,remoraid,octillery,barboach,whiscash,corphish,gastrodon,finneon,lumineon,drilbur,swanna
Victory Road|blastoise,charizard,machamp,slowbro,kingler,electrode,goldeen,jynx,dragonite,azumarill,remoraid,octillery,tyranitar,ludicolo,slaking,aggron,sharpedo,wailord,crawdaunt,feebas,absol,glalie,salamence,regice,finneon,lumineon,abomasnow,weavile,glaceon,dusknoir,serperior,excadrill,darmanitan,carracosta,cryogonal,volcarona,virizion,tornadus,kyurem,talonflame,clawitzer,hawlucha,goodra,avalugg,delta-petilil-water
Vipik City|togepi,sneasel,delta-wooper
Vipik Dump|grimer,gulpin,stunky,venipede,trubbish
Void Gauntlet|beedrill,butterfree,raticate,rattata,sandslash,zubat,golbat,paras,growlithe,graveler,grimer,gastly,haunter,cubone,koffing,weezing,moltres,hoothoot,ledyba,pineco,steelix,donphan,pupitar,shroomish,lairon,kricketot,rhyperior,dialga,palkia,petilil,durant,zygarde
Whirl Islands|tentacruel,geodude,golem,kingler,magikarp,gyarados,lanturn,qwilfish,shuckle,lugia,wingull,nosepass,lairon,sharpedo,wailmer,crawdaunt,feebas,glalie,sealeo,huntail,gorebyss,relicanth,roggenrola,gigalith,dwebble,swanna,cryogonal,carbink,delta-clamperl
